"group" "motif_type" "counts" "total_count"
"23" "protein_complexes" 5 8
"23" "protein_complexes" 6 2
"23" "protein_complexes" 8 1
"23" "protein_complexes" 21 1
"23" "regulatory_triplets" 2 156
"23" "regulatory_triplets" 3 31
"23" "regulatory_triplets" 4 10
"23" "regulatory_triplets" 5 3
"23" "regulatory_triplets" 6 1
"23" "regulatory_triplets" 19 1
"23" "signaling_triplets" 2 213
"23" "signaling_triplets" 3 46
"23" "signaling_triplets" 4 13
"23" "signaling_triplets" 5 3
"23" "signaling_triplets" 6 2
"23" "signaling_triplets" 7 1
"24" "others" 2 76
"24" "others" 3 21
"24" "others" 4 6
"24" "others" 5 4
"24" "others" 6 6
"24" "others" 7 3
"24" "others" 8 1
"24" "others" 9 1
"24" "others" 10 2
"24" "others" 12 4
"24" "others" 15 1
"24" "others" 28 1
"24" "protein_complexes" 2 400
"24" "protein_complexes" 3 80
"24" "protein_complexes" 4 22
"24" "protein_complexes" 5 8
"24" "protein_complexes" 6 2
"24" "protein_complexes" 7 1
"24" "protein_complexes" 11 1
"24" "regulatory_triplets" 2 173
"24" "regulatory_triplets" 3 28
"24" "regulatory_triplets" 4 6
"24" "regulatory_triplets" 5 2
"24" "regulatory_triplets" 6 2
"24" "regulatory_triplets" 7 1
"24" "regulatory_triplets" 13 1
"24" "signaling_triplets" 2 249
"24" "signaling_triplets" 3 46
"24" "signaling_triplets" 4 18
"24" "signaling_triplets" 5 5
"24" "signaling_triplets" 6 2
"24" "signaling_triplets" 7 1
"24" "signaling_triplets" 8 3
"24" "signaling_triplets" 17 1
"25" "others" 2 71
"25" "others" 3 17
"25" "others" 4 11
"25" "others" 5 12
"25" "others" 6 6
"25" "others" 7 3
"25" "others" 8 2
"25" "others" 10 1
"25" "others" 12 1
"25" "others" 18 1
"25" "others" 23 1
"25" "others" 29 1
"25" "others" 37 1
"25" "others" 58 1
"25" "protein_complexes" 2 435
"25" "protein_complexes" 3 81
"25" "protein_complexes" 4 23
"25" "protein_complexes" 5 5
"25" "protein_complexes" 6 1
"25" "protein_complexes" 7 1
"25" "protein_complexes" 9 1
"25" "protein_complexes" 10 2
"25" "protein_complexes" 12 1
"25" "protein_complexes" 18 1
"25" "regulatory_triplets" 2 168
"25" "regulatory_triplets" 3 17
"25" "regulatory_triplets" 4 7
"25" "regulatory_triplets" 5 2
"25" "regulatory_triplets" 6 2
"25" "regulatory_triplets" 8 1
"25" "regulatory_triplets" 9 1
"25" "regulatory_triplets" 10 1
"25" "regulatory_triplets" 12 1
"25" "regulatory_triplets" 13 1
"25" "signaling_triplets" 2 225
"25" "signaling_triplets" 3 55
"25" "signaling_triplets" 4 14
"25" "signaling_triplets" 5 3
"25" "signaling_triplets" 6 4
"25" "signaling_triplets" 9 1
"26" "others" 2 65
"26" "others" 3 17
"26" "others" 4 2
"26" "others" 5 8
"26" "others" 6 2
"26" "others" 7 3
"26" "others" 8 1
"26" "others" 11 1
"26" "others" 12 1
"26" "others" 13 1
"26" "others" 14 1
"26" "others" 37 1
"26" "protein_complexes" 2 398
"26" "protein_complexes" 3 55
"26" "protein_complexes" 4 14
"26" "protein_complexes" 5 11
"26" "protein_complexes" 6 1
"26" "protein_complexes" 8 2
"26" "regulatory_triplets" 2 154
"26" "regulatory_triplets" 3 26
"26" "regulatory_triplets" 4 10
"26" "regulatory_triplets" 5 3
"26" "regulatory_triplets" 6 2
"26" "regulatory_triplets" 7 1
"26" "regulatory_triplets" 12 1
"26" "regulatory_triplets" 23 1
"26" "signaling_triplets" 2 240
"26" "signaling_triplets" 3 34
"26" "signaling_triplets" 4 8
"26" "signaling_triplets" 5 4
"26" "signaling_triplets" 6 4
"26" "signaling_triplets" 7 1
"27" "others" 2 57
"27" "others" 3 14
"27" "others" 4 11
"27" "others" 5 3
"27" "others" 6 6
"27" "others" 7 5
"27" "others" 8 5
"27" "others" 9 1
"27" "others" 11 1
"27" "others" 16 1
"27" "others" 23 1
"27" "protein_complexes" 2 423
"27" "protein_complexes" 3 57
"27" "protein_complexes" 4 22
"27" "protein_complexes" 5 7
"27" "protein_complexes" 6 4
"27" "protein_complexes" 7 3
"27" "protein_complexes" 8 1
"27" "protein_complexes" 14 1
"27" "regulatory_triplets" 2 186
"27" "regulatory_triplets" 3 43
"27" "regulatory_triplets" 4 9
