Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YFR003C	YFR003C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR004W	YFR004W	11	1.000	2	0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0
YFR010W	YFR010W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR017C	YFR017C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR019W	YFR019W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR023W	YFR023W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR024C	YFR024C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR024C-A	YFR024C-A	14	0.684	2	0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
YFR027W	YFR027W	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0
YFR028C	YFR028C	14	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,61,25,0,0
YFR029W	YFR029W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR031C	YFR031C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR031C-A	YFR031C-A	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YFR036W	YFR036W	14	0.997	3	0,0,0,0,0,0,0,0,0,11,0,0,22,3,0,0
YFR037C	YFR037C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,11,98,0,0
YFR046C	YFR046C	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0
YFR050C	YFR050C	11	1.000	1	0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
YFR051C	YFR051C	3	1.000	4	2,12,2,0,0,0,0,0,0,0,0,0,1,0,0,0
YFR052W	YFR052W	11	1.000	2	0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0
YGL001C	YGL001C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL003C	YGL003C	14	0.938	1	0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
YGL005C	YGL005C	3	0.978	2	7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL007W	YGL007W	1	0.325	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL008C	YGL008C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL009C	YGL009C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL011C	YGL011C	11	1.000	2	0,0,0,0,0,0,0,0,0,20,0,0,0,2,0,0
YGL012W	YGL012W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL014W	YGL014W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL019W	YGL019W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL022W	YGL022W	17	0.847	1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
YGL023C	YGL023C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL031C	YGL031C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL035C	YGL035C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL043W	YGL043W	15	0.509	1	0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
YGL044C	YGL044C	9	0.558	1	0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
YGL047W	YGL047W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL048C	YGL048C	11	0.691	2	0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0
YGL058W	YGL058W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL060W	YGL060W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL061C	YGL061C	1	0.538	1	0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
YGL062W	YGL062W	15	0.494	1	0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
YGL066W	YGL066W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0
YGL071W	YGL071W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL073W	YGL073W	11	0.497	1	0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
YGL077C	YGL077C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL078C	YGL078C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL079W	YGL079W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL084C	YGL084C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL086W	YGL086W	14	0.740	3	0,0,0,0,0,0,0,4,0,0,0,0,18,3,0,0
YGL092W	YGL092W	9	1.000	2	0,0,0,0,0,0,0,48,7,0,0,0,0,0,0,0
YGL093W	YGL093W	14	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
YGL094C	YGL094C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL095C	YGL095C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL097W	YGL097W	9	1.000	1	0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
YGL098W	YGL098W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL099W	YGL099W	8	1.000	3	0,0,0,0,1,0,13,10,0,0,0,0,0,0,0,0
YGL100W	YGL100W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL103W	YGL103W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YGL105W	YGL105W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
