interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
375	RPO21	CTK1	YDL140C	YKL139W	9.50161
376	STE20	STE20	YHL007C	YHL007C	9.50161
377	BCY1	YGK3	YIL033C	YOL128C	9.47108
378	CNN1	IPL1	YFR046C	YPL209C	9.46818
379	FUS2	CLA4	YMR232W	YNL298W	9.46818
380	CTK2	CTK1	YJL006C	YKL139W	9.449901
381	PKC1	SLT2	YBL105C	YHR030C	9.43121
382	SLT2	PKC1	YHR030C	YBL105C	9.43121
383	SSN2	TPK1	YDR443C	YJL164C	9.42179
384	SOG2	KIC1	YOR353C	YHR102W	9.36272
385	CRF1	YAK1	YDR223W	YJL141C	9.330399
386	ADR1	SNF1	YDR216W	YDR477W	9.30639
387	CLB4	CDC28	YLR210W	YBR160W	9.26796
388	ASK10	HOG1	YGR097W	YLR113W	9.2612
389	CKI1	TPK1	YLR133W	YJL164C	9.2178
390	NPA3	PHO85	YJR072C	YPL031C	9.2178
391	CNN1	CDC28	YFR046C	YBR160W	9.19631
392	GCN5	SNF1	YGR252W	YDR477W	9.176451
393	DOT6	TPK1	YER088C	YJL164C	9.12174
394	CIN5	TPK2	YOR028C	YPL203W	9.11021
395	CIN5	TPK3	YOR028C	YKL166C	9.11021
396	CIN5	TPK1	YOR028C	YJL164C	9.11021
397	ASF1	RAD53	YJL115W	YPL153C	9.086209
398	NRG1	SNF1	YDR043C	YDR477W	9.06606
399	CLB3	CDC28	YDL155W	YBR160W	9.050359
400	MTH1	YCK1	YDR277C	YHR135C	9.04082
401	STD1	YCK1	YOR047C	YHR135C	9.04082
402	KSS1	STE7	YGR040W	YDL159W	9.036571
403	BNI1	PRK1	YNL271C	YIL095W	9.01163
404	HSF1	YAK1	YGL073W	YJL141C	9.01163
405	NEJ1	DUN1	YLR265C	YDL101C	9.01163
406	GPA1	SAK1	YHR005C	YER129W	8.96783
407	SPT15	CKA2	YER148W	YOR061W	8.96783
408	CDC37	CKA2	YDR168W	YOR061W	8.960561
409	RIM15	TOR1	YFL033C	YJR066W	8.921265
410	BMH1	HRR25	YER177W	YPL204W	8.88801
411	ELF1	CKA2	YKL160W	YOR061W	8.88801
412	SVF1	CKA2	YDR346C	YOR061W	8.88801
413	SVF1	CKA1	YDR346C	YIL035C	8.88801
414	WHI5	HOG1	YOR083W	YLR113W	8.88801
415	SAE2	MEC1	YGL175C	YBR136W	8.84284
416	SHO1	HOG1	YER118C	YLR113W	8.826091
417	HHT2	RAD53	YNL031C	YPL153C	8.78142
418	SDP1	SLT2	YIL113W	YHR030C	8.77146
419	PSH1	CKA2	YOL054W	YOR061W	8.76397
420	YOL083W	HRR25	YOL083W	YPL204W	8.76397
421	RAD55	RAD53	YDR076W	YPL153C	8.74426
422	HRB1	SKY1	YNL004W	YMR216C	8.68415
423	MIF2	CKA1	YKL089W	YIL035C	8.68415
424	GLN3	TOR2	YER040W	YKL203C	8.671928
425	MCM2	CDC7	YBL023C	YDL017W	8.66444
426	OPI1	PKC1	YHL020C	YBL105C	8.66444
427	RAD6	SGV1	YGL058W	YPR161C	8.66444
428	RGT1	TPK2	YKL038W	YPL203W	8.66444
429	RGT1	TPK1	YKL038W	YJL164C	8.66444
430	SKN7	SLN1	YHR206W	YIL147C	8.66444
431	SUM1	IME2	YDR310C	YJL106W	8.66444
432	CTK3	CTK1	YML112W	YKL139W	8.629451
433	CBF1	PSK1	YJR060W	YAL017W	8.62859
434	TUB4	CDC28	YLR212C	YBR160W	8.62859
435	ABF1	CKA2	YKL112W	YOR061W	8.6175
436	ABF1	CKA1	YKL112W	YIL035C	8.6175
437	FIP1	CKA1	YJR093C	YIL035C	8.6175
438	FIP1	CKA2	YJR093C	YOR061W	8.6175
439	MCM4	CDC7	YPR019W	YDL017W	8.6175
440	PKH1	TPK1	YDR490C	YJL164C	8.6175
441	SWE1	ELM1	YJL187C	YKL048C	8.598759
442	CDC3	GIN4	YLR314C	YDR507C	8.58502
443	RNR2	DUN1	YJL026W	YDL101C	8.58124
444	STD1	SNF1	YOR047C	YDR477W	8.57473
445	BIM1	IPL1	YER016W	YPL209C	8.562177
446	CHS3	PKC1	YBR023C	YBL105C	8.55205
447	RDS2	SNF1	YPL133C	YDR477W	8.5493482
448	NBP2	PBS2	YDR162C	YJL128C	8.537728
449	LRE1	CBK1	YCL051W	YNL161W	8.51837
450	PCL2	PHO85	YDL127W	YPL031C	8.51204
451	PCL6	PHO85	YER059W	YPL031C	8.51204
452	PCL9	PHO85	YDL179W	YPL031C	8.51204
453	TUS1	CDC5	YLR425W	YMR001C	8.50825
454	PTP2	HOG1	YOR208W	YLR113W	8.463911
455	PTP3	HOG1	YER075C	YLR113W	8.463911
456	SWE1	HOG1	YJL187C	YLR113W	8.429461
457	PHO85	RIM15	YPL031C	YFL033C	8.42212
458	NAP1	GIN4	YKR048C	YDR507C	8.388321
459	KIP2	CDC28	YPL155C	YBR160W	8.35672
460	STE20	CDC28	YHL007C	YBR160W	8.30129
