oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBR049C	YDR156W	transcription factor-target down	td
YBR049C	YDR157W	transcription factor-target down	td
YBR049C	YDR158W	transcription factor-target down	td
YBR049C	YDR170W-A	transcription factor-target down	td
YBR049C	YDR173C	transcription factor-target down	td
YBR049C	YDR174W	transcription factor-target down	td
YBR049C	YDR214W	transcription factor-target down	td
YBR049C	YDR221W	transcription factor-target down	td
YBR049C	YDR231C	transcription factor-target down	td
YBR049C	YDR238C	transcription factor-target down	td
YBR049C	YDR257C	transcription factor-target down	td
YBR049C	YDR264C	transcription factor-target down	td
YBR049C	YDR265W	transcription factor-target down	td
YBR049C	YDR303C	transcription factor-target down	td
YBR049C	YDR306C	transcription factor-target down	td
YBR049C	YDR313C	transcription factor-target down	td
YBR049C	YDR323C	transcription factor-target down	td
YBR049C	YDR328C	transcription factor-target down	td
YBR049C	YDR333C	transcription factor-target down	td
YBR049C	YDR334W	transcription factor-target down	td
YBR049C	YDR411C	transcription factor-target down	td
YBR049C	YDR427W	transcription factor-target down	td
YBR049C	YDR451C	transcription factor-target down	td
YBR049C	YDR452W	transcription factor-target down	td
YBR049C	YDR453C	transcription factor-target down	td
YBR049C	YDR457W	transcription factor-target down	td
YBR049C	YDR465C	transcription factor-target down	td
YBR049C	YDR466W	transcription factor-target down	td
YBR049C	YDR477W	transcription factor-target down	td
YBR049C	YDR480W	transcription factor-target down	td
YBR049C	YDR519W	transcription factor-target down	td
YBR049C	YDR520C	transcription factor-target down	td
YBR049C	YDR525W-A	transcription factor-target down	td
YBR049C	YEL012W	transcription factor-target down	td
YBR049C	YEL026W	transcription factor-target down	td
YBR049C	YEL038W	transcription factor-target down	td
YBR049C	YEL051W	transcription factor-target down	td
YBR049C	YEL055C	transcription factor-target down	td
YBR049C	YEL064C	transcription factor-target down	td
YBR049C	YER013W	transcription factor-target down	td
YBR049C	YER019C-A	transcription factor-target down	td
YBR049C	YER020W	transcription factor-target down	td
YBR049C	YER021W	transcription factor-target down	td
YBR049C	YER025W	transcription factor-target down	td
YBR049C	YER050C	transcription factor-target down	td
YBR049C	YER051W	transcription factor-target down	td
YBR049C	YER063W	transcription factor-target down	td
YBR049C	YER070W	transcription factor-target down	td
YBR049C	YER083C	transcription factor-target down	td
YBR049C	YER085C	transcription factor-target down	td
YBR049C	YER091C	transcription factor-target down	td
YBR049C	YER094C	transcription factor-target down	td
YBR049C	YER095W	transcription factor-target down	td
