interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
1252	DCP1	HRR25	YOL149W	YPL204W	4.08268
1253	DIG1	FUS3	YPL049C	YBL016W	4.08268
1254	DIG1	KSS1	YPL049C	YGR040W	4.08268
1255	DIG2	KSS1	YDR480W	YGR040W	4.08268
1256	MYO3	BCK1	YKL129C	YJL095W	4.08268
1257	NAP1	KCC4	YKR048C	YCL024W	4.08268
1258	NAP1	RIM11	YKR048C	YMR139W	4.08268
1259	NBP2	SKM1	YDR162C	YOL113W	4.08268
1260	PBP1	PSK1	YGR178C	YAL017W	4.08268
1261	PRB1	PSK1	YEL060C	YAL017W	4.08268
1262	SLA1	PKC1	YBL007C	YBL105C	4.08268
1263	URE2	YKL171W	YNL229C	YKL171W	4.08268
1264	YAP1802	ARK1	YGR241C	YNL020C	4.08268
1265	YAP1802	PRK1	YGR241C	YIL095W	4.08268
1266	HYM1	CBK1	YKL189W	YNL161W	4.082071
1267	STE11	HOG1	YLR362W	YLR113W	4.082071
1268	RHO5	BCK1	YNL180C	YJL095W	4.08002
1269	RHO5	SLT2	YNL180C	YHR030C	4.08002
1270	RTS1	YCK2	YOR014W	YNL154C	4.08002
1271	RTS1	YCK1	YOR014W	YHR135C	4.08002
1272	RTS1	GIN4	YOR014W	YDR507C	4.08002
1273	CMD1	CMK2	YBR109C	YOL016C	4.07159
1274	RIM101	SLT2	YHL027W	YHR030C	4.063271
1275	GCN4	CDC28	YEL009C	YBR160W	4.06297
1276	ZDS2	CDC28	YML109W	YBR160W	4.06297
1277	FUS3	STE11	YBL016W	YLR362W	4.060561
1278	HOG1	HOG1	YLR113W	YLR113W	4.060561
1279	KSS1	PKC1	YGR040W	YBL105C	4.060561
1280	PBS2	SLT2	YJL128C	YHR030C	4.060561
1281	SLT2	PBS2	YHR030C	YJL128C	4.060561
1282	SLT2	STE11	YHR030C	YLR362W	4.060561
1283	STE11	SLT2	YLR362W	YHR030C	4.060561
1284	STE7	STE11	YDL159W	YLR362W	4.060561
1285	TRK1	SKY1	YJL129C	YMR216C	4.0586
1286	TRK2	SKY1	YKR050W	YMR216C	4.0586
1287	CBK1	CBK1	YNL161W	YNL161W	4.03333
1288	GPB2	TPK2	YAL056W	YPL203W	4.03308
1289	GPB2	TPK3	YAL056W	YKL166C	4.03308
1290	SED1	SLT2	YDR077W	YHR030C	4.03017
1291	SED1	BCK1	YDR077W	YJL095W	4.03017
1292	LAS17	PRK1	YOR181W	YIL095W	4.027817
1293	CLG1	PHO85	YGL215W	YPL031C	4.01603
1294	GPI16	CLA4	YHR188C	YNL298W	4.00136
1295	BNI1	STE20	YNL271C	YHL007C	3.991171
1296	CDC27	CDC5	YBL084C	YMR001C	3.991171
1297	CDC42	SKM1	YLR229C	YOL113W	3.98497
1298	SIP3	SNF1	YNL257C	YDR477W	3.98497
1299	STR3	SNF1	YGL184C	YDR477W	3.9620282
1300	NAP1	HSL1	YKR048C	YKL101W	3.952761
1301	ACK1	SLT2	YDL203C	YHR030C	3.949911
1302	SSD1	CDC28	YDR293C	YBR160W	3.948259
1303	BOI1	STE20	YBL085W	YHL007C	3.933847
1304	ARG1	SNF1	YOL058W	YDR477W	3.92322
1305	ARG3	SNF1	YJL088W	YDR477W	3.92322
1306	CCW14	SLT2	YLR390W-A	YHR030C	3.92322
1307	CDC28	CDC5	YBR160W	YMR001C	3.92322
1308	CIS3	SLT2	YJL158C	YHR030C	3.92322
1309	CRH1	HOG1	YGR189C	YLR113W	3.92322
1310	CTS1	CBK1	YLR286C	YNL161W	3.92322
1311	CTS1	KIC1	YLR286C	YHR102W	3.92322
1312	CWP1	HOG1	YKL096W	YLR113W	3.92322
1313	DDR2	HOG1	YOL052C-A	YLR113W	3.92322
1314	FBP1	SNF1	YLR377C	YDR477W	3.92322
